city;code;pop;uf;date;percent
AMERICANA;3501608;242018;SP;sexta-feira, 02/04;0,45
AMERICANA;3501608;242018;SP;quinta-feira, 01/04;0,38
AMERICANA;3501608;242018;SP;quarta-feira, 31/03;0,39
AMERICANA;3501608;242018;SP;terça-feira, 30/03;0,40
AMERICANA;3501608;242018;SP;segunda-feira, 29/03;0,41
AMERICANA;3501608;242018;SP;domingo, 28/03;0,47
AMERICANA;3501608;242018;SP;sábado, 27/03;0,44
AMERICANA;3501608;242018;SP;sexta-feira, 26/03;0,39
AMERICANA;3501608;242018;SP;quinta-feira, 25/03;0,38
AMERICANA;3501608;242018;SP;quarta-feira, 24/03;0,38
AMERICANA;3501608;242018;SP;terça-feira, 23/03;0,41
AMERICANA;3501608;242018;SP;segunda-feira, 22/03;0,39
AMERICANA;3501608;242018;SP;domingo, 21/03;0,50
AMERICANA;3501608;242018;SP;sábado, 20/03;0,44
AMERICANA;3501608;242018;SP;sexta-feira, 19/03;0,39
AMERICANA;3501608;242018;SP;quinta-feira, 18/03;0,40
AMERICANA;3501608;242018;SP;quarta-feira, 17/03;0,38
AMERICANA;3501608;242018;SP;terça-feira, 16/03;0,41
AMERICANA;3501608;242018;SP;segunda-feira, 15/03;0,40
AMERICANA;3501608;242018;SP;domingo, 14/03;0,48
AMERICANA;3501608;242018;SP;sábado, 13/03;0,43
AMERICANA;3501608;242018;SP;sexta-feira, 12/03;0,38
AMERICANA;3501608;242018;SP;quinta-feira, 11/03;0,38
AMERICANA;3501608;242018;SP;quarta-feira, 10/03;0,38
AMERICANA;3501608;242018;SP;terça-feira, 09/03;0,39
AMERICANA;3501608;242018;SP;segunda-feira, 08/03;0,38
AMERICANA;3501608;242018;SP;domingo, 07/03;0,49
AMERICANA;3501608;242018;SP;sábado, 06/03;0,43
AMERICANA;3501608;242018;SP;sexta-feira, 05/03;0,37
AMERICANA;3501608;242018;SP;quinta-feira, 04/03;0,38
AMERICANA;3501608;242018;SP;quarta-feira, 03/03;0,38
AMERICANA;3501608;242018;SP;terça-feira, 02/03;0,37
AMERICANA;3501608;242018;SP;segunda-feira, 01/03;0,36
AMERICANA;3501608;242018;SP;domingo, 28/02;0,46
AMERICANA;3501608;242018;SP;sábado, 27/02;0,40
AMERICANA;3501608;242018;SP;sexta-feira, 26/02;0,36
AMERICANA;3501608;242018;SP;quinta-feira, 25/02;0,36
AMERICANA;3501608;242018;SP;quarta-feira, 24/02;0,37
AMERICANA;3501608;242018;SP;terça-feira, 23/02;0,36
AMERICANA;3501608;242018;SP;segunda-feira, 22/02;0,36
AMERICANA;3501608;242018;SP;domingo, 21/02;0,42
AMERICANA;3501608;242018;SP;sábado, 20/02;0,38
AMERICANA;3501608;242018;SP;sexta-feira, 19/02;0,33
AMERICANA;3501608;242018;SP;quinta-feira, 18/02;0,36
AMERICANA;3501608;242018;SP;quarta-feira, 17/02;0,36
AMERICANA;3501608;242018;SP;terça-feira, 16/02;0,38
AMERICANA;3501608;242018;SP;segunda-feira, 15/02;0,35
AMERICANA;3501608;242018;SP;domingo, 14/02;0,46
AMERICANA;3501608;242018;SP;sábado, 13/02;0,40
AMERICANA;3501608;242018;SP;sexta-feira, 12/02;0,35
AMERICANA;3501608;242018;SP;quinta-feira, 11/02;0,36
AMERICANA;3501608;242018;SP;quarta-feira, 10/02;0,36
AMERICANA;3501608;242018;SP;terça-feira, 09/02;0,37
AMERICANA;3501608;242018;SP;segunda-feira, 08/02;0,35
AMERICANA;3501608;242018;SP;domingo, 07/02;0,44
AMERICANA;3501608;242018;SP;sábado, 06/02;0,39
AMERICANA;3501608;242018;SP;sexta-feira, 05/02;0,36
AMERICANA;3501608;242018;SP;quinta-feira, 04/02;0,36
AMERICANA;3501608;242018;SP;quarta-feira, 03/02;0,36
AMERICANA;3501608;242018;SP;terça-feira, 02/02;0,36
AMERICANA;3501608;242018;SP;segunda-feira, 01/02;0,36
AMERICANA;3501608;242018;SP;domingo, 31/01;0,45
AMERICANA;3501608;242018;SP;sábado, 30/01;0,40
AMERICANA;3501608;242018;SP;sexta-feira, 29/01;0,37
AMERICANA;3501608;242018;SP;quinta-feira, 28/01;0,37
AMERICANA;3501608;242018;SP;quarta-feira, 27/01;0,36
AMERICANA;3501608;242018;SP;terça-feira, 26/01;0,36
AMERICANA;3501608;242018;SP;segunda-feira, 25/01;0,38
AMERICANA;3501608;242018;SP;domingo, 24/01;0,44
AMERICANA;3501608;242018;SP;sábado, 23/01;0,38
AMERICANA;3501608;242018;SP;sexta-feira, 22/01;0,37
AMERICANA;3501608;242018;SP;quinta-feira, 21/01;0,37
AMERICANA;3501608;242018;SP;quarta-feira, 20/01;0,37
AMERICANA;3501608;242018;SP;terça-feira, 19/01;0,36
AMERICANA;3501608;242018;SP;segunda-feira, 18/01;0,36
AMERICANA;3501608;242018;SP;domingo, 17/01;0,44
AMERICANA;3501608;242018;SP;sábado, 16/01;0,39
AMERICANA;3501608;242018;SP;sexta-feira, 15/01;0,37
AMERICANA;3501608;242018;SP;quinta-feira, 14/01;0,37
AMERICANA;3501608;242018;SP;quarta-feira, 13/01;0,38
AMERICANA;3501608;242018;SP;terça-feira, 12/01;0,37
AMERICANA;3501608;242018;SP;segunda-feira, 11/01;0,36
AMERICANA;3501608;242018;SP;domingo, 10/01;0,42
AMERICANA;3501608;242018;SP;sábado, 09/01;0,43
AMERICANA;3501608;242018;SP;sexta-feira, 08/01;0,37
AMERICANA;3501608;242018;SP;quinta-feira, 07/01;0,39
AMERICANA;3501608;242018;SP;quarta-feira, 06/01;0,40
AMERICANA;3501608;242018;SP;terça-feira, 05/01;0,37
AMERICANA;3501608;242018;SP;segunda-feira, 04/01;0,38
AMERICANA;3501608;242018;SP;domingo, 03/01;0,48
AMERICANA;3501608;242018;SP;sábado, 02/01;0,46
AMERICANA;3501608;242018;SP;sexta-feira, 01/01;0,44
AMERICANA;3501608;242018;SP;quinta-feira, 31/12;0,44
AMERICANA;3501608;242018;SP;quarta-feira, 30/12;0,39
AMERICANA;3501608;242018;SP;terça-feira, 29/12;0,40
AMERICANA;3501608;242018;SP;segunda-feira, 28/12;0,40
AMERICANA;3501608;242018;SP;domingo, 27/12;0,48
AMERICANA;3501608;242018;SP;sábado, 26/12;0,45
AMERICANA;3501608;242018;SP;sexta-feira, 25/12;0,44
AMERICANA;3501608;242018;SP;quinta-feira, 24/12;0,40
AMERICANA;3501608;242018;SP;quarta-feira, 23/12;0,37
AMERICANA;3501608;242018;SP;terça-feira, 22/12;0,36
AMERICANA;3501608;242018;SP;segunda-feira, 21/12;0,38
AMERICANA;3501608;242018;SP;domingo, 20/12;0,42
AMERICANA;3501608;242018;SP;sábado, 19/12;0,37
AMERICANA;3501608;242018;SP;sexta-feira, 18/12;0,36
AMERICANA;3501608;242018;SP;quinta-feira, 17/12;0,36
AMERICANA;3501608;242018;SP;quarta-feira, 16/12;0,38
AMERICANA;3501608;242018;SP;terça-feira, 15/12;0,38
AMERICANA;3501608;242018;SP;segunda-feira, 14/12;0,37
AMERICANA;3501608;242018;SP;domingo, 13/12;0,41
AMERICANA;3501608;242018;SP;sábado, 12/12;0,38
AMERICANA;3501608;242018;SP;sexta-feira, 11/12;0,37
AMERICANA;3501608;242018;SP;quinta-feira, 10/12;0,37
AMERICANA;3501608;242018;SP;quarta-feira, 09/12;0,36
AMERICANA;3501608;242018;SP;terça-feira, 08/12;0,37
AMERICANA;3501608;242018;SP;segunda-feira, 07/12;0,37
AMERICANA;3501608;242018;SP;domingo, 06/12;0,41
AMERICANA;3501608;242018;SP;sábado, 05/12;0,39
AMERICANA;3501608;242018;SP;sexta-feira, 04/12;0,35
AMERICANA;3501608;242018;SP;quinta-feira, 03/12;0,36
AMERICANA;3501608;242018;SP;quarta-feira, 02/12;0,36
AMERICANA;3501608;242018;SP;terça-feira, 01/12;0,36
AMERICANA;3501608;242018;SP;segunda-feira, 30/11;0,37
AMERICANA;3501608;242018;SP;domingo, 29/11;0,43
AMERICANA;3501608;242018;SP;sábado, 28/11;0,38
AMERICANA;3501608;242018;SP;sexta-feira, 27/11;0,35
AMERICANA;3501608;242018;SP;quinta-feira, 26/11;0,36
AMERICANA;3501608;242018;SP;quarta-feira, 25/11;0,36
AMERICANA;3501608;242018;SP;terça-feira, 24/11;0,36
AMERICANA;3501608;242018;SP;segunda-feira, 23/11;0,36
AMERICANA;3501608;242018;SP;domingo, 22/11;0,43
AMERICANA;3501608;242018;SP;sábado, 21/11;0,37
AMERICANA;3501608;242018;SP;sexta-feira, 20/11;0,35
AMERICANA;3501608;242018;SP;quinta-feira, 19/11;0,35
AMERICANA;3501608;242018;SP;quarta-feira, 18/11;0,36
AMERICANA;3501608;242018;SP;terça-feira, 17/11;0,36
AMERICANA;3501608;242018;SP;segunda-feira, 16/11;0,37
AMERICANA;3501608;242018;SP;domingo, 15/11;0,41
AMERICANA;3501608;242018;SP;sábado, 14/11;0,37
AMERICANA;3501608;242018;SP;sexta-feira, 13/11;0,35
AMERICANA;3501608;242018;SP;quinta-feira, 12/11;0,35
AMERICANA;3501608;242018;SP;quarta-feira, 11/11;0,36
AMERICANA;3501608;242018;SP;terça-feira, 10/11;0,37
AMERICANA;3501608;242018;SP;segunda-feira, 09/11;0,37
AMERICANA;3501608;242018;SP;domingo, 08/11;0,43
AMERICANA;3501608;242018;SP;sábado, 07/11;0,37
AMERICANA;3501608;242018;SP;sexta-feira, 06/11;0,35
